日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
100/01/03,"35,747,205","2,541,551,155",71.50,71.60,70.80,71.1,+0.10,"7,394"
100/01/04,"36,048,199","2,567,399,929",71.00,71.60,70.80,71.2,+0.10,"8,813"
100/01/05,"54,327,088","3,811,818,734",70.90,71.10,69.60,69.8,-1.40,"12,673"
100/01/06,"46,802,332","3,295,606,915",69.80,71.00,69.70,71.0,+1.20,"8,619"
100/01/07,"170,328,819","12,335,418,871",71.90,73.00,71.90,72.5,+1.50,"23,691"
100/01/10,"69,703,894","5,110,967,768",73.00,74.20,72.60,74.2,+1.70,"16,369"
100/01/11,"82,758,806","6,162,045,858",74.10,74.90,73.80,74.5,+0.30,"16,810"
100/01/12,"53,637,687","4,014,372,696",74.70,75.00,74.70,74.9,+0.40,"10,433"
100/01/13,"93,105,337","6,938,412,487",75.10,75.30,74.20,74.6,-0.30,"12,512"
100/01/14,"29,817,293","2,220,104,622",74.40,74.80,74.10,74.8,+0.20,"5,767"
100/01/17,"67,400,276","5,092,053,375",75.40,75.90,75.30,75.8,+1.00,"11,899"
100/01/18,"57,357,186","4,373,750,537",75.50,77.40,75.20,76.8,+1.00,"13,917"
100/01/19,"87,297,730","6,768,302,794",76.90,78.30,76.60,78.0,+1.20,"19,410"
100/01/20,"43,718,267","3,341,141,503",77.00,77.00,76.10,76.4,-1.60,"14,962"
100/01/21,"81,475,611","6,091,444,279",74.00,75.20,74.00,74.6,-1.80,"15,460"
100/01/24,"46,169,039","3,467,457,893",75.20,75.40,74.60,75.3,+0.70,"8,248"
100/01/25,"50,794,623","3,826,117,525",75.90,75.90,74.90,75.0,-0.30,"9,000"
100/01/26,"66,830,494","4,989,976,065",74.60,75.20,74.30,74.6,-0.40,"11,664"
100/01/27,"69,892,004","5,251,216,072",74.90,75.40,74.80,75.2,+0.60,"13,786"
100/01/28,"110,404,458","8,379,115,848",75.20,76.90,74.90,76.3,+1.10,"22,572"
100/02/08,"110,969,823","8,381,585,010",77.00,77.00,74.80,75.5,-0.80,"26,740"
100/02/09,"81,246,782","6,040,472,175",75.50,75.60,73.80,73.8,-1.70,"20,142"
100/02/10,"83,632,934","6,078,858,298",73.10,73.40,72.00,72.0,-1.80,"20,588"
100/02/11,"112,430,037","8,044,680,271",72.20,72.40,70.90,71.4,-0.60,"26,850"
100/02/14,"66,889,583","4,841,305,528",72.00,72.90,71.50,72.5,+1.10,"14,377"
100/02/15,"56,495,041","4,102,685,127",72.40,73.10,71.40,72.5, 0.00,"13,726"
100/02/16,"54,423,863","3,933,560,828",72.40,72.70,71.90,72.1,-0.40,"11,904"
100/02/17,"49,330,644","3,562,377,585",72.40,72.90,71.60,72.5,+0.40,"11,030"
100/02/18,"74,599,914","5,483,477,622",73.10,73.90,73.00,73.0,+0.50,"14,923"
100/02/21,"39,070,280","2,849,659,463",73.10,73.40,72.30,73.4,+0.40,"7,394"
100/02/22,"82,661,396","5,929,226,108",72.20,72.50,71.20,72.5,-0.90,"18,155"
100/02/23,"80,262,579","5,724,036,296",71.50,71.90,70.50,71.0,-1.50,"19,137"
100/02/24,"62,768,424","4,454,063,545",71.00,71.40,70.50,70.5,-0.50,"12,755"
100/02/25,"78,873,152","5,559,067,692",70.60,71.10,69.90,70.5, 0.00,"17,438"
100/03/01,"84,618,121","6,003,532,203",70.00,71.80,70.00,71.4,+0.90,"15,496"
100/03/02,"53,047,407","3,745,323,697",70.80,71.00,70.40,70.4,-1.00,"12,752"
100/03/03,"59,498,499","4,214,044,381",70.10,71.60,70.10,70.8,+0.40,"10,928"
100/03/04,"60,659,920","4,348,797,572",71.50,72.00,71.30,71.8,+1.00,"11,646"
100/03/07,"30,172,470","2,149,438,070",71.60,71.70,70.90,70.9,-0.90,"7,613"
100/03/08,"55,818,519","3,982,273,270",70.50,71.80,70.50,71.5,+0.60,"9,129"
100/03/09,"46,796,528","3,350,255,428",72.20,72.20,71.10,71.4,-0.10,"7,702"
100/03/10,"64,180,088","4,539,678,068",72.10,72.10,70.10,70.5,-0.90,"13,650"
100/03/11,"52,600,534","3,687,666,814",70.00,70.60,69.50,70.0,-0.50,"12,715"
100/03/14,"48,041,338","3,354,385,405",70.30,70.50,69.10,70.3,+0.30,"10,839"
100/03/15,"117,025,324","7,953,678,108",70.00,70.10,66.20,68.0,-2.30,"26,883"
100/03/16,"62,389,483","4,274,786,011",68.80,69.10,68.10,68.5,+0.50,"12,755"
100/03/17,"105,442,287","7,033,491,536",66.80,67.50,65.70,67.4,-1.10,"22,945"
100/03/18,"55,721,233","3,780,251,570",67.80,68.40,67.20,68.3,+0.90,"13,797"
100/03/21,"36,534,983","2,510,013,669",68.30,69.10,68.00,69.0,+0.70,"9,293"
100/03/22,"34,736,830","2,393,692,119",69.50,69.50,68.40,68.6,-0.40,"8,792"
100/03/23,"31,238,583","2,142,998,527",69.10,69.10,68.10,68.7,+0.10,"8,969"
100/03/24,"44,747,838","3,111,389,809",69.10,70.10,69.00,69.4,+0.70,"10,271"
100/03/25,"51,712,263","3,656,021,795",70.40,71.20,70.00,71.2,+1.80,"14,870"
100/03/28,"31,030,915","2,197,248,591",70.60,71.00,70.30,71.0,-0.20,"8,150"
100/03/29,"34,871,283","2,468,543,490",70.60,71.20,70.40,70.8,-0.20,"8,045"
100/03/30,"60,975,449","4,290,358,805",70.30,70.80,70.00,70.3,-0.50,"11,251"
100/03/31,"46,429,498","3,272,055,557",71.00,71.00,70.00,70.6,+0.30,"7,943"
100/04/01,"30,274,033","2,133,378,022",70.70,70.80,70.10,70.7,+0.10,"5,174"
100/04/06,"114,460,250","8,301,842,095",71.50,72.90,71.50,72.9,+2.20,"25,496"
100/04/07,"45,215,954","3,283,279,085",73.00,73.00,72.30,72.8,-0.10,"9,827"
100/04/08,"65,763,831","4,782,338,327",72.90,73.00,72.40,72.9,+0.10,"9,173"
100/04/11,"62,602,112","4,503,047,226",73.00,73.00,70.90,71.1,-1.80,"10,791"
100/04/12,"45,964,636","3,231,872,388",70.50,70.70,70.10,70.1,-1.00,"10,389"
100/04/13,"27,891,600","1,964,191,434",70.10,70.80,70.00,70.7,+0.60,"6,801"
100/04/14,"53,756,684","3,757,806,950",70.30,70.50,69.60,69.8,-0.90,"12,461"
100/04/15,"52,231,570","3,629,601,369",70.00,70.00,69.10,69.2,-0.60,"11,026"
100/04/18,"27,185,278","1,877,233,082",69.80,69.80,68.80,69.0,-0.20,"6,035"
100/04/19,"42,733,182","2,915,769,158",68.50,68.50,68.00,68.1,-0.90,"9,788"
100/04/20,"48,244,873","3,333,577,105",69.00,69.80,68.50,69.8,+1.70,"9,868"
100/04/21,"50,937,217","3,606,899,284",70.70,71.30,70.30,70.7,+0.90,"12,730"
100/04/22,"25,371,724","1,792,206,477",70.90,71.00,70.30,70.9,+0.20,"5,550"
100/04/25,"22,103,592","1,556,732,134",71.00,71.10,70.10,70.3,-0.60,"4,696"
100/04/26,"31,931,088","2,226,635,524",69.70,70.30,69.10,70.3, 0.00,"8,675"
100/04/27,"59,307,601","4,271,965,822",71.50,72.70,71.50,72.3,+2.00,"17,352"
100/04/28,"83,614,038","6,125,682,340",73.40,73.70,72.90,73.0,+0.70,"17,830"
100/04/29,"93,588,212","6,882,965,276",73.70,73.90,72.90,73.2,+0.20,"17,949"
100/05/03,"81,669,099","6,066,179,700",73.90,74.80,73.60,74.6,+1.40,"19,824"
100/05/04,"46,678,225","3,433,260,073",74.40,74.40,73.00,73.8,-0.80,"10,039"
100/05/05,"45,484,174","3,378,326,290",74.00,74.80,73.60,74.8,+1.00,"11,504"
100/05/06,"54,111,533","4,059,218,987",75.00,75.60,74.40,75.0,+0.20,"14,830"
100/05/09,"64,708,117","4,897,105,327",75.60,76.10,75.20,75.5,+0.50,"11,734"
100/05/10,"43,355,853","3,237,316,122",75.60,75.60,74.40,74.4,-1.10,"9,744"
100/05/11,"43,256,281","3,243,205,073",75.30,75.30,74.60,75.0,+0.60,"8,555"
100/05/12,"59,055,772","4,439,548,659",74.20,76.00,74.10,75.7,+0.70,"13,621"
100/05/13,"40,118,462","3,043,904,778",76.00,76.10,75.50,75.9,+0.20,"9,913"
100/05/16,"34,105,848","2,560,369,491",75.90,75.90,74.70,74.9,-1.00,"6,607"
100/05/17,"41,402,144","3,119,333,671",74.60,76.00,74.60,75.6,+0.70,"10,167"
100/05/18,"28,263,408","2,130,897,500",75.30,75.80,74.90,75.3,-0.30,"6,393"
100/05/19,"58,823,651","4,460,406,004",74.90,76.30,74.90,75.2,-0.10,"10,381"
100/05/20,"33,000,080","2,493,815,774",76.00,76.00,74.90,75.5,+0.30,"6,934"
100/05/23,"39,033,336","2,930,155,900",74.70,75.50,74.50,75.1,-0.40,"7,808"
100/05/24,"34,788,138","2,599,793,554",74.90,75.10,74.20,74.8,-0.30,"7,252"
100/05/25,"59,580,438","4,415,640,385",74.20,74.90,73.30,74.5,-0.30,"11,539"
100/05/26,"33,240,611","2,473,777,614",75.00,75.00,74.00,74.2,-0.30,"6,184"
100/05/27,"49,929,460","3,699,398,420",73.80,74.50,73.80,74.0,-0.20,"8,290"
100/05/30,"33,733,362","2,524,331,116",74.00,75.30,74.00,75.1,+1.10,"7,159"
100/05/31,"62,918,492","4,799,615,122",75.50,76.90,75.40,76.7,+1.60,"14,707"
100/06/01,"45,321,656","3,488,783,299",76.30,77.30,76.30,77.0,+0.30,"12,368"
100/06/02,"61,881,218","4,759,830,178",76.30,77.40,76.30,76.4,-0.60,"11,664"
100/06/03,"36,770,550","2,822,036,850",77.00,77.20,76.10,77.2,+0.80,"7,149"
100/06/07,"41,425,578","3,213,436,992",77.20,78.20,76.60,77.5,+0.30,"11,181"
100/06/08,"58,253,016","4,519,789,810",77.10,78.00,77.10,77.5, 0.00,"8,862"
100/06/09,"36,964,778","2,849,471,423",78.00,78.00,76.80,76.9,-0.60,"7,818"
100/06/10,"55,348,517","4,214,876,102",77.00,77.50,75.10,75.3,-1.60,"15,429"
100/06/13,"72,548,035","5,389,059,717",74.50,75.00,73.90,74.7,-0.60,"13,505"
100/06/14,"52,975,332","4,004,129,070",74.50,76.40,74.50,76.2,+1.50,"11,341"
100/06/15,"91,840,464","7,051,595,267",77.00,77.40,76.10,77.0,+0.80,"13,586"
100/06/16,"63,134,906","4,779,979,485",76.00,76.20,75.40,75.5,-1.50,"11,314"
100/06/17,"91,732,005","6,844,046,003",75.00,75.10,74.10,74.2,-1.30,"16,326"
100/06/20,"31,787,173","2,381,029,976",74.60,75.40,74.10,74.9,+0.70,"7,386"
100/06/21,"42,663,024","3,234,102,432",75.40,76.20,75.30,75.9,+1.00,"9,032"
100/06/22,"46,702,856","3,517,723,800",76.30,76.30,74.60,75.0,-0.90,"9,351"
100/06/23,"70,233,153","5,213,627,372",74.70,74.90,73.80,74.2,-0.80,"13,195"
100/06/24,"86,769,132","6,309,240,008",73.60,73.60,71.90,72.9,-1.30,"16,470"
100/06/27,"65,176,171","4,683,848,612",72.00,72.10,71.60,72.0,-0.90,"14,604"
100/06/28,"101,716,180","7,347,339,744",72.10,72.60,71.80,72.5,+0.50,"16,823"
