日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
103/01/02,"15,133,724","1,578,860,796",105.00,105.50,103.50,104.5,-1.00,"4,136"
103/01/03,"41,160,529","4,220,062,918",103.00,103.00,102.00,102.5,-2.00,"8,524"
103/01/06,"23,729,719","2,432,745,661",102.00,103.00,102.00,102.5, 0.00,"4,874"
103/01/07,"18,803,694","1,907,188,388",102.50,103.00,102.00,102.0,-0.50,"5,529"
103/01/08,"30,933,475","3,209,563,219",103.00,104.50,102.50,104.0,+2.00,"7,305"
103/01/09,"64,221,769","6,522,626,520",102.50,103.00,100.50,101.0,-3.00,"19,873"
103/01/10,"36,289,948","3,703,540,624",102.00,102.50,101.50,102.0,+1.00,"7,619"
103/01/13,"22,080,716","2,273,073,754",103.00,103.50,102.50,103.0,+1.00,"6,282"
103/01/14,"21,718,294","2,237,629,782",102.50,103.50,102.00,103.5,+0.50,"5,256"
103/01/15,"54,458,036","5,722,578,780",104.00,106.00,104.00,105.0,+1.50,"15,415"
103/01/16,"49,601,100","5,301,040,094",106.00,107.50,106.00,107.0,+2.00,"16,279"
103/01/17,"55,767,194","6,014,453,565",108.00,108.50,107.00,107.5,+0.50,"15,038"
103/01/20,"24,299,123","2,622,482,683",107.00,108.50,107.00,107.5, 0.00,"8,533"
103/01/21,"25,121,036","2,695,028,292",108.50,108.50,106.00,106.5,-1.00,"6,334"
103/01/22,"28,726,849","3,065,077,343",106.00,107.50,106.00,107.5,+1.00,"7,549"
103/01/23,"28,308,805","3,055,374,935",108.50,108.50,107.50,107.5, 0.00,"7,461"
103/01/24,"34,059,356","3,671,261,247",107.00,108.50,107.00,108.0,+0.50,"8,172"
103/01/27,"65,271,057","6,848,753,986",106.00,106.50,104.00,105.0,-3.00,"17,118"
103/02/05,"147,198,405","14,922,299,001",102.00,102.00,100.50,100.5,-4.50,"37,866"
103/02/06,"73,840,243","7,540,841,366",101.00,103.00,101.00,102.0,+1.50,"16,321"
103/02/07,"54,185,812","5,628,604,948",103.50,104.50,103.00,104.0,+2.00,"14,854"
103/02/10,"26,243,521","2,725,145,903",104.00,104.50,103.00,103.0,-1.00,"7,897"
103/02/11,"23,523,880","2,436,083,720",104.50,105.00,104.00,104.5,+1.50,"6,947"
103/02/12,"25,305,882","2,661,441,170",105.00,105.50,104.50,105.0,+0.50,"7,138"
103/02/13,"19,625,423","2,067,832,915",105.00,106.00,105.00,105.0, 0.00,"5,781"
103/02/14,"42,737,744","4,578,772,108",106.50,107.50,106.50,107.5,+2.50,"14,580"
103/02/17,"34,368,373","3,714,458,464",108.00,108.50,107.50,108.5,+1.00,"11,664"
103/02/18,"22,289,965","2,403,989,204",108.50,108.50,107.50,108.0,-0.50,"5,778"
103/02/19,"28,886,535","3,102,602,484",108.00,108.00,107.00,108.0, 0.00,"7,006"
103/02/20,"28,469,515","3,029,358,090",106.50,107.00,106.00,106.5,-1.50,"6,646"
103/02/21,"31,505,340","3,381,313,380",107.00,107.50,107.00,107.5,+1.00,"7,819"
103/02/24,"32,057,819","3,435,891,697",107.50,108.00,106.00,107.0,-0.50,"6,992"
103/02/25,"34,350,129","3,685,266,810",107.50,108.00,106.50,108.0,+1.00,"6,570"
103/02/26,"34,982,996","3,762,870,072",107.50,108.00,107.00,107.5,-0.50,"5,182"
103/02/27,"49,352,141","5,323,712,132",107.50,108.00,107.50,108.0,+0.50,"7,531"
103/03/03,"62,467,129","6,706,761,665",108.00,108.00,106.50,108.0, 0.00,"10,046"
103/03/04,"48,939,593","5,273,707,058",108.00,108.00,107.50,107.5,-0.50,"9,493"
103/03/05,"55,447,701","6,074,004,809",108.50,110.00,108.50,110.0,+2.50,"16,511"
103/03/06,"72,622,868","8,142,187,484",110.00,113.50,110.00,113.0,+3.00,"18,144"
103/03/07,"66,916,749","7,649,451,186",114.00,115.00,113.50,114.5,+1.50,"17,219"
103/03/10,"38,430,338","4,354,521,623",114.50,114.50,112.50,113.0,-1.50,"9,237"
103/03/11,"29,182,885","3,324,036,739",113.50,114.50,113.50,114.0,+1.00,"9,133"
103/03/12,"18,414,771","2,073,574,352",112.50,113.00,112.00,113.0,-1.00,"5,218"
103/03/13,"59,080,824","6,890,677,534",116.50,117.50,115.50,116.5,+3.50,"16,969"
103/03/14,"47,105,032","5,396,134,366",115.00,115.50,114.00,115.0,-1.50,"12,132"
103/03/17,"33,910,334","3,854,652,365",114.50,115.00,113.00,114.0,-1.00,"8,995"
103/03/18,"37,517,456","4,285,097,984",114.50,115.00,113.50,114.5,+0.50,"7,396"
103/03/19,"35,237,094","4,023,833,316",114.50,115.00,113.50,114.5, 0.00,"6,589"
103/03/20,"46,512,209","5,232,891,154",113.00,113.50,112.00,112.0,-2.50,"13,078"
103/03/21,"60,438,012","6,807,696,918",114.00,114.00,112.00,112.5,+0.50,"7,294"
103/03/24,"29,607,569","3,320,400,583",111.50,112.50,111.50,112.5, 0.00,"7,098"
103/03/25,"38,070,794","4,291,636,589",111.50,113.50,111.50,113.5,+1.00,"6,933"
103/03/26,"45,234,160","5,211,750,315",115.50,116.00,114.50,115.5,+2.00,"12,860"
103/03/27,"31,399,282","3,609,273,026",114.50,116.00,114.00,116.0,+0.50,"8,641"
