日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 85/01/04,"3,265,000","275,702,000",86.00,86.00,83.00,83.5,-1.50,781
 85/01/05,"3,478,399","271,322,227",78.00,78.00,78.00,78.0,-5.50,982
 85/01/06,"5,604,000","433,529,109",78.00,79.00,75.00,77.5,-0.50,"1,792"
 85/01/08,"2,497,000","196,330,000",78.00,79.50,78.00,79.0,1.50,873
 85/01/09,"2,391,900","188,671,936",79.50,79.50,78.00,78.0,-1.00,687
 85/01/10,"5,859,610","445,487,341",77.00,77.50,75.50,76.0,-2.00,"1,534"
 85/01/11,"4,028,508","303,900,028",75.00,77.00,74.00,76.0,0.00,"1,314"
 85/01/12,"3,937,510","296,630,065",76.00,76.50,74.50,74.5,-1.50,"1,219"
 85/01/13,"4,328,202","327,815,303",76.00,76.50,75.00,76.0,1.50,"1,554"
 85/01/15,"2,407,000","183,667,500",76.00,77.00,75.50,77.0,1.00,864
 85/01/16,"2,431,000","186,264,500",77.00,77.50,76.00,76.0,-1.00,896
 85/01/17,"2,541,350","193,660,680",76.50,77.00,75.50,75.5,-0.50,811
 85/01/18,"2,176,167","163,265,045",75.00,75.50,74.50,75.0,-0.50,811
 85/01/19,"1,613,046","122,573,671",76.00,76.50,75.50,75.5,0.50,527
 85/01/20,"5,014,337","387,395,291",76.00,78.00,76.00,78.0,2.50,"1,565"
 85/01/22,"2,549,000","199,445,000",78.50,79.00,77.50,78.0,0.00,980
 85/01/23,"1,800,629","139,212,640",78.50,78.50,77.00,78.0,0.00,584
 85/01/24,"1,072,454","82,727,842",77.50,77.50,76.50,77.5,-0.50,388
 85/01/25,"1,745,062","132,931,389",77.00,77.00,76.00,76.0,-1.50,555
 85/01/26,"1,429,800","109,713,996",76.00,77.50,76.00,76.5,0.50,453
 85/01/27,"1,026,134","78,681,308",77.00,77.00,76.50,77.0,0.50,406
 85/01/29,"2,674,000","203,114,000",77.00,77.00,75.00,75.0,-2.00,756
 85/01/30,"1,615,600","122,638,772",75.00,76.50,75.00,76.5,1.50,538
 85/01/31,"1,533,467","117,645,542",76.50,77.00,76.00,76.5,0.00,536
 85/02/01,"2,268,200","174,225,721",77.00,77.00,76.00,76.5,0.00,578
 85/02/02,"1,068,788","81,859,909",77.00,77.00,76.00,77.0,0.50,358
 85/02/03,"813,914","62,662,520",77.00,77.50,76.50,77.0,0.00,272
 85/02/05,"1,810,000","138,226,500",77.00,77.00,75.50,77.0,0.00,515
 85/02/06,"1,170,010","88,735,263",76.50,76.50,75.50,75.5,-1.50,413
 85/02/07,"2,501,209","188,197,699",75.50,76.00,74.50,76.0,0.50,765
 85/02/08,"1,319,210","99,618,880",76.50,76.50,75.00,75.0,-1.00,400
 85/02/09,"10,855,702","857,449,237",76.00,80.00,76.00,79.5,4.50,"2,945"
 85/02/10,"2,710,020","214,036,082",79.00,79.50,78.50,79.0,-0.50,858
 85/02/12,"5,955,000","482,750,000",79.50,82.00,79.50,81.5,2.50,"1,600"
 85/02/13,"6,148,100","502,620,609",81.50,82.50,81.00,82.5,1.00,"1,588"
 85/02/14,"4,328,700","353,234,956",82.50,82.50,81.00,81.5,-1.00,"1,326"
 85/02/15,"5,116,020","417,285,709",81.50,82.00,81.00,81.5,0.00,"1,386"
 85/02/23,"2,737,000","223,185,500",82.00,82.50,80.50,80.5,-1.00,752
 85/02/24,"805,800","65,134,071",81.00,81.50,80.50,80.5,0.00,314
 85/02/26,"1,743,000","139,677,500",80.50,81.00,80.00,80.0,-0.50,583
 85/02/27,"4,670,801","364,996,259",80.00,80.50,76.50,78.0,-2.00,"1,383"
 85/02/28,"2,312,800","177,425,088",77.50,78.00,76.00,76.0,-2.00,793
 85/02/29,"1,153,517","88,964,140",76.00,78.00,76.00,77.5,1.50,550
 85/03/01,"1,753,875","138,080,970",78.00,79.50,77.50,79.5,2.00,655
 85/03/02,"1,964,906","154,320,163",79.50,79.50,77.50,78.5,-1.00,588
 85/03/04,"1,380,000","106,368,000",78.00,78.00,76.50,77.5,-1.00,462
 85/03/05,"3,827,288","287,872,315",77.00,77.00,73.50,74.0,-3.50,"1,413"
 85/03/06,"1,982,705","141,200,905",72.00,72.00,70.00,71.5,-2.50,761
 85/03/07,"3,812,718","270,083,578",71.00,73.00,70.00,70.0,-1.50,"1,508"
 85/03/08,"4,478,383","313,971,120",71.00,71.00,69.00,71.0,1.00,"1,646"
 85/03/09,"1,474,569","104,025,832",70.00,71.00,69.50,71.0,0.00,605
 85/03/11,"4,969,000","342,230,000",69.50,70.00,68.00,68.0,-3.00,"1,653"
 85/03/12,"6,345,146","422,656,533",68.00,68.50,64.00,64.5,-3.50,"1,929"
 85/03/13,"5,200,399","342,512,271",64.50,67.00,64.50,67.0,2.50,"1,789"
 85/03/14,"6,290,610","436,702,320",67.00,71.00,67.00,71.0,4.00,"1,972"
 85/03/15,"5,434,174","388,733,428",72.50,72.50,70.50,72.0,1.00,"1,825"
 85/03/16,"3,470,199","249,079,395",71.00,72.50,70.50,72.5,0.50,"1,236"
 85/03/18,"4,518,000","330,031,000",73.00,74.00,72.50,73.0,0.50,"1,343"
 85/03/19,"7,244,776","543,485,117",74.50,75.50,74.50,75.0,2.00,"1,716"
 85/03/20,"5,259,400","398,589,847",75.00,77.00,75.00,77.0,2.00,"1,410"
 85/03/21,"5,960,894","464,033,096",78.00,78.50,77.00,78.5,1.50,"1,785"
 85/03/22,"6,287,600","485,957,859",78.50,79.00,76.50,77.5,-1.00,"1,720"
 85/03/25,"6,885,512","532,117,479",78.50,78.50,76.00,76.5,-1.00,"1,659"
 85/03/26,"3,756,204","283,194,634",75.50,76.50,74.50,76.5,0.00,"1,157"
 85/03/27,"4,156,364","316,134,702",76.50,77.00,75.00,75.5,-1.00,"1,160"
 85/03/28,"2,474,710","185,202,072",74.50,75.50,74.50,75.0,-0.50,842
 85/04/01,"3,916,106","293,978,736",75.00,75.50,74.50,75.5,0.50,"1,214"
 85/04/02,"2,714,929","206,722,785",75.50,76.50,75.50,76.5,1.00,958
 85/04/05,"8,510,179","675,172,730",78.00,81.00,78.00,81.0,4.50,"2,455"
 85/04/06,"7,802,510","641,082,600",82.00,83.00,81.00,83.0,2.00,"2,234"
 85/04/08,"5,986,000","489,632,000",83.00,83.00,81.00,81.5,-1.50,"1,839"
 85/04/09,"13,769,396","1,162,442,557",81.50,86.00,81.50,83.5,2.00,"3,794"
 85/04/10,"8,890,215","746,874,331",82.50,85.00,82.50,85.0,1.50,"2,353"
 85/04/11,"9,184,764","776,069,592",85.50,86.00,82.00,82.5,-2.50,"2,372"
 85/04/12,"6,300,398","520,675,062",82.00,83.50,81.50,83.0,0.50,"1,717"
 85/04/13,"15,540,195","1,357,216,576",83.00,88.50,83.00,88.5,5.50,"2,845"
 85/04/15,"19,957,000","1,791,308,500",88.50,92.00,86.50,88.0,-0.50,"4,528"
 85/04/16,"13,074,307","1,173,627,937",88.50,91.00,88.00,88.0,0.00,"3,612"
