日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
104/01/05,"32,214,177","4,459,516,134",140.50,140.50,137.50,139.5,-1.50,"9,377"
104/01/06,"67,649,997","9,104,346,055",137.50,137.50,133.00,133.5,-6.00,"26,240"
104/01/07,"43,886,007","5,887,797,145",133.50,135.00,133.50,134.0,+0.50,"14,735"
104/01/08,"42,551,468","5,839,710,584",136.50,138.00,136.00,138.0,+4.00,"12,327"
104/01/09,"61,920,268","8,308,394,250",135.00,135.50,133.00,134.0,-4.00,"24,470"
104/01/12,"30,402,705","4,031,933,265",132.50,133.50,132.00,132.0,-2.00,"11,823"
104/01/13,"38,093,830","5,032,758,490",131.00,133.00,130.50,132.5,+0.50,"12,537"
104/01/14,"49,447,397","6,480,574,787",132.50,133.00,130.00,130.0,-2.50,"18,536"
104/01/15,"40,996,781","5,409,019,683",131.50,133.00,131.50,131.5,+1.50,"10,987"
104/01/16,"129,035,714","17,798,427,458",140.00,140.00,136.00,137.0,+5.50,"33,344"
104/01/19,"50,175,501","6,946,057,848",138.50,139.50,137.50,139.0,+2.00,"15,694"
104/01/20,"33,795,629","4,668,853,302",139.00,139.00,137.50,138.0,-1.00,"10,489"
104/01/21,"77,292,890","10,851,391,010",139.50,141.00,139.50,141.0,+3.00,"22,304"
104/01/22,"45,654,028","6,420,329,920",141.50,142.00,139.50,140.0,-1.00,"12,880"
104/01/23,"82,359,856","11,860,880,764",142.50,145.00,142.50,145.0,+5.00,"24,817"
104/01/26,"46,941,337","6,773,046,328",145.50,145.50,143.50,145.0, 0.00,"12,366"
104/01/27,"53,362,680","7,766,942,038",145.50,147.00,144.50,147.0,+2.00,"13,505"
104/01/28,"48,373,268","7,070,390,708",146.50,147.00,145.50,146.5,-0.50,"13,048"
104/01/29,"36,887,636","5,304,459,221",144.00,145.00,143.00,143.5,-3.00,"10,970"
104/01/30,"44,413,182","6,309,920,080",145.00,145.50,141.00,141.0,-2.50,"12,509"
104/02/02,"30,382,755","4,310,814,470",140.50,143.00,140.50,142.5,+1.50,"7,265"
104/02/03,"27,234,908","3,911,596,752",143.00,144.50,142.00,144.5,+2.00,"7,438"
104/02/04,"43,152,252","6,270,013,358",144.50,146.50,144.00,146.0,+1.50,"10,725"
104/02/05,"25,327,809","3,661,740,425",145.50,146.00,143.50,145.5,-0.50,"8,827"
104/02/06,"28,668,194","4,131,250,622",145.50,145.50,143.00,143.0,-2.50,"10,068"
104/02/09,"26,650,627","3,790,983,534",143.00,143.50,141.50,142.0,-1.00,"7,095"
104/02/10,"33,452,346","4,760,519,217",142.00,143.00,141.50,142.5,+0.50,"8,287"
104/02/11,"71,429,251","10,550,756,946",146.00,149.00,146.00,148.0,+5.50,"21,683"
104/02/12,"35,027,816","5,193,362,537",149.50,149.50,147.50,148.5,+0.50,"10,815"
104/02/13,"38,571,667","5,752,407,636",148.50,150.00,148.00,148.5, 0.00,"13,408"
104/02/24,"74,443,659","11,211,962,367",149.00,152.00,148.50,151.0,+2.50,"17,976"
104/02/25,"48,326,782","7,425,359,928",152.50,154.50,152.50,154.5,+3.50,"13,778"
104/02/26,"58,406,927","8,838,206,759",153.50,154.00,150.50,150.5,-4.00,"16,129"
104/03/02,"41,706,868","6,260,834,709",151.50,153.00,148.50,149.0,-1.50,"14,902"
104/03/03,"29,205,565","4,374,634,250",150.00,151.00,148.50,150.5,+1.50,"10,700"
104/03/04,"32,781,813","4,936,813,407",150.00,151.50,149.00,150.5, 0.00,"9,519"
104/03/05,"29,851,795","4,474,822,250",150.00,151.00,148.50,150.0,-0.50,"8,059"
104/03/06,"33,211,114","4,948,740,906",149.00,149.50,148.50,149.0,-1.00,"9,540"
104/03/09,"67,545,510","9,855,160,676",147.50,147.50,145.00,145.5,-3.50,"21,963"
104/03/10,"46,859,211","6,762,792,095",145.00,145.00,144.00,144.0,-1.50,"17,451"
104/03/11,"51,828,263","7,572,305,994",143.50,148.00,143.00,146.0,+2.00,"14,996"
104/03/12,"32,364,794","4,785,611,312",147.00,148.50,146.50,148.0,+2.00,"10,987"
104/03/13,"46,407,830","6,904,477,410",148.00,149.50,147.00,149.0,+1.00,"12,528"
104/03/16,"37,462,553","5,514,486,291",149.00,149.50,146.00,146.0,-3.00,"10,187"
104/03/17,"55,770,359","8,326,102,991",148.50,150.00,148.50,149.0,+3.00,"16,064"
104/03/18,"71,220,784","10,852,430,499",151.00,154.00,150.00,153.5,+4.50,"24,516"
104/03/19,"43,512,703","6,700,872,109",152.50,155.00,152.50,154.0,+0.50,"14,822"
104/03/20,"38,594,575","5,909,217,707",151.50,154.00,151.50,154.0, 0.00,"8,722"
104/03/23,"26,369,028","4,049,600,743",154.00,154.00,152.50,153.5,-0.50,"8,438"
104/03/24,"38,207,799","5,811,312,948",153.50,153.50,151.50,151.5,-2.00,"9,866"
104/03/25,"50,140,683","7,584,239,053",152.00,152.50,150.50,151.0,-0.50,"8,084"
104/03/26,"162,835,475","23,745,941,540",145.50,147.00,144.50,145.5,-5.50,"40,030"
104/03/27,"112,919,978","16,228,885,022",144.00,145.50,142.50,142.5,-3.00,"31,660"
104/03/30,"64,898,228","9,275,490,102",142.50,144.00,142.00,142.5, 0.00,"20,026"
104/03/31,"56,918,778","8,225,648,688",144.00,145.50,143.00,145.5,+3.00,"14,570"
104/04/01,"39,056,191","5,643,680,541",145.00,145.00,143.50,144.0,-1.50,"11,700"
104/04/02,"52,174,388","7,651,261,176",145.00,148.00,144.50,147.0,+3.00,"15,545"
104/04/07,"34,901,698","5,106,814,058",146.50,147.50,145.00,146.0,-1.00,"9,240"
104/04/08,"49,474,198","7,132,875,065",145.50,146.00,143.00,143.0,-3.00,"14,640"
104/04/09,"47,243,108","6,801,837,297",144.00,145.50,143.00,143.0, 0.00,"14,341"
104/04/10,"33,908,579","4,948,520,786",146.00,147.00,145.00,147.0,+4.00,"13,442"
104/04/13,"26,427,202","3,876,943,634",146.50,147.50,146.00,147.0, 0.00,"10,892"
104/04/14,"41,702,197","6,021,009,775",145.00,145.50,143.50,144.0,-3.00,"15,801"
104/04/15,"71,626,316","10,214,833,004",143.50,144.50,141.50,143.0,-1.00,"24,704"
104/04/16,"55,563,272","8,114,893,484",145.00,147.00,144.50,147.0,+4.00,"20,084"
104/04/17,"79,007,681","11,301,095,708",143.00,144.00,142.50,142.5,-4.50,"29,078"
104/04/20,"43,593,805","6,220,438,078",142.00,144.00,141.50,143.0,+0.50,"9,856"
104/04/21,"40,892,605","5,824,163,035",142.00,143.50,141.50,142.5,-0.50,"10,238"
104/04/22,"40,631,875","5,844,788,500",143.50,145.00,143.00,143.5,+1.00,"12,231"
104/04/23,"47,851,742","7,010,815,563",145.50,147.00,145.00,147.0,+3.50,"18,425"
104/04/24,"135,458,464","20,467,883,674",149.00,152.50,148.50,152.5,+5.50,"35,056"
104/04/27,"58,112,934","8,802,544,948",153.00,153.00,150.00,151.5,-1.00,"14,169"
104/04/28,"43,295,538","6,563,481,738",153.50,153.50,150.50,151.5, 0.00,"12,673"
104/04/29,"37,440,139","5,582,483,598",150.00,151.00,148.00,148.5,-3.00,"11,220"
104/04/30,"48,982,979","7,212,381,413",147.00,148.50,146.50,147.0,-1.50,"13,793"
104/05/04,"30,868,640","4,548,281,580",148.50,148.50,146.00,147.5,+0.50,"8,598"
104/05/05,"27,789,400","4,083,589,300",147.50,148.00,146.00,147.0,-0.50,"6,502"
104/05/06,"18,824,208","2,765,471,076",145.50,148.00,145.50,147.5,+0.50,"6,477"
104/05/07,"21,908,150","3,209,664,442",146.00,147.50,146.00,146.5,-1.00,"5,816"
104/05/08,"20,035,646","2,938,305,595",146.00,147.50,146.00,146.5, 0.00,"7,730"
104/05/11,"20,402,529","3,020,441,292",149.00,149.00,147.00,148.5,+2.00,"6,385"
104/05/12,"24,956,498","3,687,151,073",147.00,148.50,147.00,147.5,-1.00,"6,593"
104/05/13,"19,437,537","2,880,697,082",147.50,149.00,147.00,148.0,+0.50,"5,694"
104/05/14,"39,888,654","5,860,602,872",148.00,148.50,146.00,146.0,-2.00,"12,300"
104/05/15,"24,831,890","3,627,515,848",147.00,147.00,145.00,146.5,+0.50,"8,186"
104/05/18,"26,212,375","3,823,751,806",147.00,147.00,145.00,146.5, 0.00,"7,178"
104/05/19,"26,321,396","3,852,118,475",145.50,147.50,145.00,146.5, 0.00,"9,418"
104/05/20,"26,984,912","3,949,956,564",146.50,147.00,146.00,146.5, 0.00,"10,516"
104/05/21,"41,286,686","5,995,895,156",146.00,146.50,144.50,145.5,-1.00,"12,871"
104/05/22,"22,103,852","3,229,666,392",146.00,147.00,145.00,145.5, 0.00,"6,813"
104/05/25,"16,323,218","2,396,692,046",146.50,147.50,145.50,147.5,+2.00,"5,998"
104/05/26,"16,069,726","2,368,218,823",148.50,148.50,146.50,146.5,-1.00,"6,148"
104/05/27,"24,257,941","3,536,266,849",145.50,147.00,145.00,145.0,-1.50,"6,869"
104/05/28,"36,704,395","5,388,568,653",147.00,147.50,146.00,147.0,+2.00,"10,259"
104/05/29,"61,983,862","9,053,910,953",147.00,147.50,145.50,146.0,-1.00,"8,252"
104/06/01,"31,646,861","4,585,709,246",145.50,146.00,144.00,145.0,-1.00,"9,735"
104/06/02,"33,433,403","4,812,699,032",144.50,144.50,143.50,144.0,-1.00,"10,752"
104/06/03,"30,174,690","4,333,388,014",143.50,144.50,143.00,143.0,-1.00,"7,788"
104/06/04,"62,313,192","8,793,986,209",142.00,142.50,140.00,141.0,-2.00,"17,920"
104/06/05,"42,846,692","5,990,378,661",139.50,140.50,139.00,140.0,-1.00,"13,335"
104/06/08,"45,637,640","6,346,411,738",139.50,140.00,138.50,138.5,-1.50,"17,131"
104/06/09,"31,663,811","4,410,907,091",138.50,140.00,138.00,139.0,+0.50,"10,951"
104/06/10,"37,243,196","5,235,873,213",141.00,141.50,139.50,139.5,+0.50,"11,225"
104/06/11,"46,455,780","6,630,323,144",141.00,144.00,141.00,143.5,+4.00,"15,700"
104/06/12,"35,243,603","5,072,826,832",144.00,144.50,142.50,144.5,+1.00,"9,645"
104/06/15,"23,775,780","3,409,554,790",144.50,144.50,142.50,143.0,-1.50,"7,385"
104/06/16,"28,696,598","4,063,948,476",143.00,143.00,141.00,142.0,-1.00,"11,387"
