日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 95/01/02,"750,375","3,130,650",4.26,4.26,4.12,4.13,-0.17,189
 95/01/03,"871,945","3,708,129",4.14,4.34,4.10,4.29,+0.16,231
 95/01/04,"1,447,827","6,296,278",4.40,4.45,4.27,4.27,-0.02,343
 95/01/05,"1,022,152","4,423,755",4.35,4.37,4.28,4.29,+0.02,234
 95/01/06,"1,350,232","5,883,014",4.30,4.45,4.30,4.31,+0.02,324
 95/01/09,"1,989,257","8,815,401",4.43,4.50,4.35,4.42,+0.11,376
 95/01/10,"982,385","4,286,639",4.42,4.45,4.33,4.33,-0.09,212
 95/01/11,"1,056,367","4,567,627",4.34,4.38,4.30,4.32,-0.01,204
 95/01/12,"3,505,828","15,628,128",4.33,4.53,4.33,4.36,+0.04,397
 95/01/13,"904,158","3,908,930",4.37,4.39,4.28,4.28,-0.08,187
 95/01/16,"591,143","2,519,151",4.28,4.34,4.21,4.23,-0.05,129
 95/01/17,"825,054","3,466,195",4.24,4.27,4.12,4.13,-0.10,190
 95/01/18,"1,078,000","4,282,010",4.08,4.09,3.85,3.85,-0.28,237
 95/01/19,"2,046,211","8,063,382",3.90,4.00,3.85,3.96,+0.11,289
 95/01/20,"612,442","2,404,271",4.00,4.00,3.87,3.87,-0.09,125
 95/01/23,"889,000","3,301,140",3.80,3.83,3.62,3.62,-0.25,161
 95/01/24,"847,000","3,185,797",3.69,3.82,3.68,3.80,+0.18,140
 95/01/25,"563,315","2,142,557",3.84,3.89,3.76,3.78,-0.02,120
 95/02/03,"447,808","1,705,640",3.78,3.92,3.78,3.80,+0.02,119
 95/02/06,"503,664","1,910,839",3.80,3.90,3.72,3.90,+0.10,104
 95/02/07,"799,635","3,138,602",3.85,3.98,3.84,3.98,+0.08,154
 95/02/08,"468,230","1,832,669",3.95,3.95,3.90,3.91,-0.07,109
 95/02/09,"597,888","2,358,572",3.94,3.99,3.91,3.93,+0.02,104
 95/02/10,"365,355","1,428,234",3.93,3.95,3.87,3.93, 0.00,85
 95/02/13,"421,490","1,621,305",3.93,3.93,3.81,3.82,-0.11,98
 95/02/14,"465,234","1,765,478",3.80,3.84,3.78,3.78,-0.04,79
 95/02/15,"577,192","2,175,304",3.78,3.80,3.74,3.78, 0.00,123
 95/02/16,"818,093","3,104,047",3.78,3.82,3.78,3.78, 0.00,141
 95/02/17,"575,572","2,177,515",3.84,3.86,3.74,3.78, 0.00,132
 95/02/20,"769,587","2,829,333",3.75,3.75,3.62,3.62,-0.16,162
 95/02/21,"915,535","3,250,402",3.62,3.66,3.48,3.50,-0.12,192
 95/02/22,"3,799,425","13,457,851",3.46,3.62,3.46,3.50, 0.00,359
 95/02/23,"701,015","2,418,918",3.51,3.51,3.36,3.40,-0.10,153
 95/02/24,"737,888","2,532,052",3.37,3.55,3.37,3.44,+0.04,137
 95/02/27,"379,488","1,288,722",3.40,3.43,3.37,3.37,-0.07,109
 95/03/01,"679,520","2,351,869",3.39,3.53,3.38,3.53,+0.16,146
 95/03/02,"756,319","2,669,402",3.56,3.57,3.50,3.52,-0.01,115
 95/03/03,"302,481","1,049,545",3.52,3.52,3.45,3.47,-0.05,71
 95/03/06,"311,046","1,074,031",3.47,3.50,3.40,3.45,-0.02,73
 95/03/07,"122,974","420,338",3.44,3.45,3.40,3.40,-0.05,44
 95/03/08,"220,701","753,366",3.41,3.45,3.40,3.42,+0.02,57
 95/03/09,"232,825","800,365",3.43,3.47,3.41,3.41,-0.01,72
 95/03/10,"1,300,804","4,519,112",3.41,3.54,3.41,3.47,+0.06,182
 95/03/13,"297,185","1,028,146",3.52,3.52,3.42,3.43,-0.04,95
 95/03/14,"506,609","1,714,735",3.38,3.41,3.35,3.35,-0.08,95
 95/03/15,"726,957","2,485,767",3.38,3.52,3.36,3.52,+0.17,138
 95/03/16,"3,975,491","14,439,255",3.52,3.76,3.47,3.52, 0.00,422
 95/03/17,"422,894","1,450,532",3.39,3.50,3.39,3.43,-0.09,129
 95/03/20,"411,974","1,404,707",3.43,3.47,3.38,3.38,-0.05,98
 95/03/21,"493,730","1,662,048",3.41,3.41,3.32,3.33,-0.05,116
 95/03/22,"534,641","1,789,485",3.32,3.38,3.32,3.33, 0.00,101
 95/03/23,"333,187","1,102,939",3.33,3.37,3.24,3.27,-0.06,96
 95/03/24,"414,059","1,361,663",3.27,3.33,3.25,3.25,-0.02,102
 95/03/27,"360,463","1,170,516",3.24,3.27,3.22,3.25, 0.00,91
 95/03/28,"230,921","744,070",3.21,3.25,3.21,3.21,-0.04,70
 95/03/29,"428,671","1,383,174",3.21,3.30,3.16,3.23,+0.02,96
 95/03/30,"510,860","1,671,094",3.25,3.34,3.23,3.27,+0.04,115
 95/03/31,"592,035","1,950,800",3.21,3.39,3.21,3.30,+0.03,154
 95/04/03,"453,047","1,517,118",3.40,3.40,3.28,3.33,+0.03,83
 95/04/04,"480,517","1,587,345",3.30,3.33,3.28,3.33, 0.00,106
 95/04/06,"1,318,099","4,555,488",3.33,3.56,3.33,3.56,+0.23,263
 95/04/07,"2,618,167","9,949,014",3.80,3.80,3.80,3.80,+0.24,413
 95/04/10,"5,846,253","23,220,692",4.05,4.05,3.80,3.88,+0.08,852
