日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 98/01/05,"431,240","921,875",2.20,2.20,2.10,2.12,+0.03,91
 98/01/06,"1,275,638","2,865,515",2.16,2.26,2.13,2.26,+0.14,151
 98/01/07,"1,170,820","2,787,776",2.30,2.41,2.30,2.41,+0.15,190
 98/01/08,"1,060,103","2,571,475",2.50,2.50,2.30,2.40,-0.01,185
 98/01/09,"568,935","1,333,196",2.42,2.50,2.25,2.37,-0.03,102
 98/01/10,"734,413","1,630,411",2.29,2.31,2.21,2.21,-0.16,107
 98/01/12,"221,804","490,885",2.19,2.29,2.18,2.18,-0.03,79
 98/01/13,"235,477","514,765",2.11,2.31,2.11,2.20,+0.02,76
 98/01/14,"135,271","301,120",2.11,2.30,2.11,2.18,-0.02,47
 98/01/15,"200,391","420,930",2.18,2.18,2.06,2.10,-0.08,56
 98/01/16,"217,579","444,300",2.10,2.15,1.96,1.99,-0.11,73
 98/01/17,"141,728","299,662",2.12,2.12,2.03,2.12,+0.13,52
 98/01/19,"107,694","228,704",2.15,2.19,2.10,2.10,-0.02,47
 98/01/20,"74,259","153,640",2.05,2.16,2.05,2.07,-0.03,30
 98/01/21,"152,290","316,248",2.05,2.18,2.01,2.06,-0.01,69
 98/02/02,"94,922","195,991",2.06,2.12,2.03,2.06, 0.00,62
 98/02/03,"238,121","509,498",2.09,2.20,2.09,2.20,+0.14,75
 98/02/04,"195,949","429,688",2.20,2.28,2.13,2.17,-0.03,70
 98/02/05,"117,479","257,361",2.15,2.25,2.15,2.21,+0.04,38
 98/02/06,"167,057","374,723",2.22,2.28,2.20,2.25,+0.04,61
 98/02/09,"140,097","313,806",2.30,2.30,2.21,2.27,+0.02,42
 98/02/10,"323,687","740,192",2.25,2.35,2.21,2.32,+0.05,86
 98/02/11,"169,581","377,113",2.28,2.28,2.18,2.20,-0.12,44
 98/02/12,"287,336","626,478",2.24,2.27,2.10,2.10,-0.10,68
 98/02/13,"177,966","385,412",2.14,2.20,2.12,2.20,+0.10,57
 98/02/16,"216,710","474,861",2.20,2.25,2.16,2.25,+0.05,47
 98/02/17,"216,898","490,703",2.25,2.33,2.21,2.22,-0.03,76
 98/02/18,"157,945","345,197",2.15,2.24,2.13,2.24,+0.02,63
 98/02/19,"152,103","337,373",2.19,2.25,2.16,2.21,-0.03,57
 98/02/20,"92,983","201,000",2.17,2.18,2.15,2.18,-0.03,36
 98/02/23,"97,689","211,495",2.14,2.20,2.14,2.16,-0.02,30
 98/02/24,"72,646","158,152",2.16,2.21,2.16,2.20,+0.04,31
 98/02/25,"224,147","496,594",2.21,2.25,2.18,2.18,-0.02,74
 98/02/26,"370,203","824,780",2.18,2.27,2.18,2.25,+0.07,85
 98/02/27,"366,208","812,051",2.24,2.25,2.18,2.21,-0.04,79
 98/03/02,"1,422,635","3,348,345",2.25,2.36,2.25,2.36,+0.15,220
 98/03/03,"1,500,004","3,547,104",2.39,2.50,2.25,2.49,+0.13,276
 98/03/04,"860,562","2,137,405",2.51,2.55,2.42,2.45,-0.04,198
 98/03/05,"876,882","2,176,234",2.45,2.55,2.43,2.48,+0.03,181
 98/03/06,"1,020,975","2,643,811",2.47,2.65,2.46,2.65,+0.17,212
 98/03/09,"1,446,450","4,000,400",2.68,2.83,2.66,2.83,+0.18,302
