日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 93/01/02,"5,485,000","31,513,250",5.80,5.85,5.65,5.70,-0.05,650
 93/01/05,"6,518,021","37,019,946",5.80,5.80,5.60,5.70, 0.00,752
 93/01/06,"4,429,565","25,448,133",5.75,5.80,5.70,5.75,+0.05,623
 93/01/07,"13,076,005","77,606,760",5.80,6.10,5.80,6.05,+0.30,"1,454"
 93/01/08,"11,236,358","67,098,336",6.05,6.10,5.85,5.85,-0.20,"1,190"
 93/01/09,"19,262,070","117,169,963",5.90,6.25,5.85,6.25,+0.40,"1,816"
 93/02/16,"548,000","5,397,800",9.85,9.85,9.85,9.85,X0.00,113
 93/02/17,"15,233,068","159,928,942",10.50,10.50,10.50,10.50,+0.65,"2,048"
 93/02/18,"26,572,976","296,550,178",11.20,11.20,10.70,11.20,+0.70,"3,823"
 93/02/19,"13,557,997","152,483,858",11.50,11.70,11.00,11.05,-0.15,"2,569"
 93/02/20,"7,184,200","78,550,197",11.15,11.15,10.80,10.85,-0.20,"1,543"
 93/02/23,"5,330,034","60,985,690",10.85,11.60,10.85,11.60,+0.75,"1,137"
 93/02/24,"6,783,951","83,785,929",12.30,12.40,12.30,12.40,+0.80,"1,292"
 93/02/25,"15,169,222","187,372,175",12.95,12.95,11.80,12.05,-0.35,"2,712"
 93/02/26,"6,969,634","84,851,479",12.10,12.40,11.90,12.05, 0.00,"1,626"
 93/02/27,"6,287,020","76,935,498",12.10,12.50,12.10,12.10,+0.05,"1,175"
 93/03/01,"7,800,221","92,701,572",12.25,12.40,11.65,11.75,-0.35,"1,395"
 93/03/02,"7,997,251","92,455,156",11.75,12.10,11.20,11.30,-0.45,"1,519"
 93/03/03,"6,586,619","75,700,799",11.30,11.70,11.30,11.35,+0.05,"1,210"
 93/03/04,"5,148,143","59,340,238",11.45,11.60,11.40,11.55,+0.20,860
 93/03/05,"9,969,958","117,755,178",11.65,12.00,11.55,11.80,+0.25,"1,641"
 93/03/08,"12,138,884","147,223,788",11.95,12.35,11.85,12.00,+0.20,"1,836"
 93/03/09,"5,893,586","70,442,792",12.20,12.20,11.70,11.75,-0.25,"1,041"
 93/03/10,"4,537,097","52,549,620",11.80,11.90,11.40,11.40,-0.35,951
 93/03/11,"3,381,735","38,586,262",11.35,11.55,11.30,11.35,-0.05,681
 93/03/12,"2,902,303","32,603,345",11.35,11.35,11.15,11.15,-0.20,644
 93/03/15,"2,852,059","32,066,598",11.45,11.45,11.00,11.00,-0.15,631
 93/03/16,"2,668,725","29,512,967",11.00,11.20,10.95,11.00, 0.00,554
 93/03/17,"1,726,435","18,996,782",11.05,11.20,10.80,10.80,-0.20,409
 93/03/18,"2,000,704","22,062,125",10.90,11.20,10.90,11.15,+0.35,477
 93/03/19,"2,272,507","24,933,367",11.20,11.20,10.90,10.90,-0.25,453
 93/03/22,"113,285","1,153,480",10.15,10.15,10.15,10.15,-0.75,54
 93/03/23,"855,843","8,088,892",9.45,9.45,9.45,9.45,-0.70,170
 93/03/24,"4,205,839","37,634,984",8.80,9.40,8.80,8.80,-0.65,756
 93/03/25,"1,920,509","17,204,486",8.95,9.10,8.90,8.90,+0.10,444
 93/03/26,"2,902,598","25,175,580",9.05,9.10,8.35,8.35,-0.55,464
 93/03/29,"796,466","7,082,857",8.90,8.90,8.90,8.90,+0.55,128
 93/03/30,"1,059,547","10,063,387",9.50,9.50,9.50,9.50,+0.60,193
 93/03/31,"2,538,623","25,524,381",10.05,10.15,9.85,10.15,+0.65,462
 93/04/01,"5,879,153","60,049,929",10.45,10.45,10.00,10.25,+0.10,982
 93/04/02,"3,036,624","32,220,834",10.25,10.90,10.25,10.50,+0.25,698
 93/04/05,"2,591,544","27,633,551",10.50,10.80,10.50,10.65,+0.15,600
 93/04/06,"2,881,623","30,420,009",10.70,10.80,10.35,10.35,-0.30,603
 93/04/07,"1,767,828","18,135,819",10.40,10.50,10.15,10.15,-0.20,396
 93/04/08,"1,153,191","11,806,203",10.30,10.35,10.15,10.30,+0.15,303
 93/04/09,"1,562,850","15,936,586",10.30,10.40,10.10,10.30, 0.00,344
 93/04/12,"3,454,255","36,759,187",10.40,10.80,10.40,10.70,+0.40,700
 93/04/13,"5,937,196","65,831,603",10.80,11.35,10.70,11.10,+0.40,"1,173"
 93/04/14,"4,523,860","50,914,518",11.10,11.45,11.10,11.15,+0.05,870
 93/04/15,"3,105,401","33,778,904",11.20,11.40,10.55,10.55,-0.60,622
 93/04/16,"2,789,421","29,546,363",10.60,10.80,10.40,10.50,-0.05,501
 93/04/19,"2,316,249","24,128,776",10.50,10.65,10.25,10.25,-0.25,496
 93/04/20,"897,613","9,257,131",10.25,10.45,10.25,10.25, 0.00,284
