日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
100/01/03,"492,475","3,778,305",7.63,7.74,7.60,7.66,+0.09,143
100/01/04,"573,332","4,444,998",7.70,7.85,7.66,7.73,+0.07,189
100/01/05,"705,559","5,497,957",7.80,7.91,7.72,7.73, 0.00,185
100/01/06,"301,716","2,348,452",7.78,7.82,7.74,7.80,+0.07,116
100/01/07,"561,780","4,389,741",7.81,7.92,7.74,7.75,-0.05,150
100/01/10,"198,248","1,523,493",7.77,7.77,7.63,7.63,-0.12,96
100/01/11,"216,080","1,658,892",7.70,7.76,7.62,7.63, 0.00,92
100/01/12,"176,896","1,360,619",7.76,7.76,7.65,7.66,+0.03,94
100/01/13,"294,533","2,263,644",7.75,7.79,7.66,7.66, 0.00,110
100/01/14,"884,093","6,933,509",7.73,8.00,7.66,7.86,+0.20,312
100/01/17,"1,312,539","10,639,424",7.86,8.20,7.86,8.12,+0.26,395
100/01/18,"1,338,364","10,908,286",8.20,8.33,7.90,8.20,+0.08,382
100/01/19,"631,988","5,125,043",8.23,8.23,8.07,8.07,-0.13,177
100/01/20,"328,701","2,637,057",8.07,8.10,7.95,7.99,-0.08,124
100/01/21,"1,751,476","14,207,659",7.98,8.28,7.94,8.17,+0.18,332
100/01/24,"541,184","4,394,461",8.17,8.17,8.10,8.10,-0.07,133
100/01/25,"501,642","4,054,702",8.20,8.23,7.95,7.95,-0.15,145
100/01/26,"488,778","3,919,514",7.99,8.08,7.96,8.05,+0.10,136
100/01/27,"602,667","4,843,157",8.12,8.12,7.96,7.96,-0.09,145
100/01/28,"349,691","2,797,538",8.10,8.10,7.96,7.99,+0.03,110
100/02/08,"297,286","2,357,834",8.10,8.10,7.75,7.83,-0.16,102
100/02/09,"196,368","1,534,248",7.81,7.88,7.78,7.83, 0.00,69
100/02/10,"180,139","1,393,197",7.83,7.83,7.70,7.71,-0.12,83
100/02/11,"460,911","3,469,859",7.71,7.71,7.33,7.33,-0.38,145
100/02/14,"262,810","1,922,242",7.35,7.41,7.26,7.27,-0.06,103
100/02/15,"248,791","1,800,042",7.20,7.31,7.20,7.21,-0.06,111
100/02/16,"256,258","1,881,705",7.22,7.44,7.22,7.32,+0.11,105
100/02/17,"197,466","1,457,457",7.35,7.43,7.32,7.36,+0.04,77
100/02/18,"212,116","1,568,565",7.39,7.45,7.32,7.37,+0.01,81
100/02/21,"144,946","1,059,016",7.37,7.37,7.26,7.28,-0.09,63
100/02/22,"345,430","2,480,934",7.28,7.28,7.10,7.10,-0.18,119
100/02/23,"320,163","2,282,707",7.01,7.20,7.01,7.10, 0.00,114
100/02/24,"249,173","1,781,866",7.10,7.22,7.10,7.11,+0.01,86
100/02/25,"207,287","1,476,558",7.18,7.18,7.10,7.10,-0.01,68
100/03/01,"282,209","2,018,822",7.12,7.18,7.12,7.18,+0.08,83
100/03/02,"332,039","2,385,990",7.19,7.27,7.15,7.16,-0.02,113
100/03/03,"320,691","2,314,322",7.15,7.27,7.15,7.24,+0.08,105
100/03/04,"381,860","2,800,400",7.26,7.43,7.26,7.29,+0.05,133
100/03/07,"246,832","1,782,929",7.30,7.32,7.16,7.16,-0.13,97
100/03/08,"119,689","859,162",7.17,7.21,7.15,7.15,-0.01,55
100/03/09,"327,548","2,336,227",7.19,7.19,7.06,7.09,-0.06,95
100/03/10,"253,626","1,787,557",7.09,7.10,7.01,7.07,-0.02,83
100/03/11,"479,074","3,382,460",7.07,7.14,7.01,7.11,+0.04,128
100/03/14,"206,392","1,459,894",7.11,7.15,7.00,7.01,-0.10,84
100/03/15,"938,084","6,207,695",7.01,7.05,6.52,6.52,-0.49,169
100/03/16,"599,376","3,936,543",6.55,6.70,6.54,6.55,+0.03,114
100/03/17,"476,769","3,036,496",6.50,6.50,6.31,6.40,-0.15,134
100/03/18,"357,589","2,325,559",6.42,6.64,6.36,6.57,+0.17,117
100/03/21,"249,677","1,660,401",6.61,6.69,6.61,6.66,+0.09,85
100/03/22,"340,707","2,296,996",6.70,6.86,6.67,6.67,+0.01,113
100/03/23,"1,151,569","7,894,886",6.70,6.99,6.70,6.92,+0.25,231
100/03/24,"188,779","1,302,963",6.92,6.97,6.86,6.88,-0.04,82
100/03/25,"318,689","2,198,190",6.98,6.98,6.85,6.85,-0.03,94
100/03/28,"228,795","1,547,972",6.90,6.90,6.72,6.80,-0.05,84
100/03/29,"192,381","1,301,238",6.78,6.81,6.70,6.79,-0.01,68
100/03/30,"185,670","1,261,868",6.82,6.82,6.71,6.80,+0.01,67
100/03/31,"183,338","1,248,134",6.80,6.87,6.78,6.78,-0.02,63
100/04/01,"170,362","1,144,700",6.70,6.79,6.70,6.72,-0.06,51
100/04/06,"361,998","2,436,174",6.80,6.80,6.71,6.72, 0.00,80
100/04/07,"266,998","1,803,523",6.75,6.80,6.73,6.75,+0.03,92
100/04/08,"315,267","2,150,573",6.81,6.87,6.76,6.79,+0.04,108
100/04/11,"319,241","2,149,184",6.80,6.81,6.70,6.70,-0.09,124
100/04/12,"175,329","1,171,043",6.71,6.74,6.65,6.70, 0.00,81
100/04/13,"185,804","1,243,815",6.70,6.73,6.67,6.68,-0.02,77
100/04/14,"255,225","1,706,526",6.73,6.73,6.65,6.67,-0.01,82
100/04/15,"281,027","1,889,872",6.71,6.80,6.66,6.75,+0.08,120
100/04/18,"212,484","1,425,865",6.79,6.79,6.66,6.67,-0.08,91
100/04/19,"229,256","1,503,644",6.66,6.67,6.49,6.60,-0.07,102
100/04/20,"125,326","826,127",6.60,6.62,6.56,6.60, 0.00,72
100/04/21,"178,831","1,196,206",6.65,6.75,6.65,6.67,+0.07,104
100/04/22,"464,053","3,134,432",6.70,6.83,6.65,6.83,+0.16,165
100/04/25,"370,913","2,496,219",6.82,6.82,6.68,6.70,-0.13,118
100/04/26,"275,822","1,865,033",6.84,6.84,6.70,6.76,+0.06,95
100/04/27,"191,365","1,299,496",6.80,6.83,6.76,6.76, 0.00,107
