日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 94/01/03,"1,254,000","6,760,350",5.50,5.50,5.30,5.40,+0.10,201
 94/01/04,"705,473","3,736,492",5.30,5.35,5.25,5.30,-0.10,156
 94/01/05,"860,967","4,442,694",5.25,5.25,5.10,5.10,-0.20,141
 94/01/06,"1,022,150","5,300,679",5.15,5.30,5.05,5.15,+0.05,214
 94/01/07,"382,001","1,970,905",5.25,5.25,5.10,5.15, 0.00,84
 94/01/10,"664,023","3,379,997",5.20,5.20,5.00,5.00,-0.15,143
 94/01/11,"497,547","2,530,478",5.00,5.15,5.00,5.10,+0.10,138
 94/01/12,"609,971","3,054,990",5.10,5.10,4.92,4.92,-0.18,130
 94/01/13,"773,629","3,809,035",4.90,5.05,4.85,4.95,+0.03,137
 94/01/14,"406,766","2,014,717",4.91,5.00,4.86,4.97,+0.02,85
 94/01/17,"682,000","3,416,480",5.00,5.10,4.98,4.98,+0.01,92
 94/01/18,"286,600","1,419,119",4.98,4.98,4.92,4.93,-0.05,54
 94/01/19,"282,366","1,411,883",5.00,5.05,4.94,4.96,+0.03,65
 94/01/20,"425,521","2,134,737",4.96,5.10,4.95,4.98,+0.02,106
 94/01/21,"449,250","2,217,257",5.00,5.00,4.90,4.92,-0.06,76
 94/01/24,"379,250","1,864,431",4.92,5.05,4.86,4.90,-0.02,72
 94/01/25,"333,548","1,611,828",4.90,4.90,4.80,4.88,-0.02,71
 94/01/26,"246,000","1,203,740",4.89,4.92,4.83,4.90,+0.02,58
 94/01/27,"131,750","645,242",4.95,4.95,4.86,4.90, 0.00,37
 94/01/28,"414,787","2,031,870",4.88,4.95,4.85,4.91,+0.01,90
 94/01/31,"601,629","2,979,393",4.95,5.00,4.90,4.95,+0.04,114
 94/02/01,"1,108,990","5,625,735",4.95,5.15,4.95,5.05,+0.10,203
 94/02/02,"601,990","3,035,398",5.10,5.15,4.96,5.00,-0.05,143
 94/02/03,"473,933","2,356,317",5.00,5.05,4.92,4.95,-0.05,123
 94/02/14,"522,000","2,612,630",5.00,5.05,4.95,5.00,+0.05,101
 94/02/15,"559,393","2,777,151",5.00,5.00,4.95,4.96,-0.04,85
 94/02/16,"2,533,103","12,923,536",4.97,5.20,4.95,5.15,+0.19,328
 94/02/17,"2,707,666","14,360,046",5.20,5.45,5.15,5.25,+0.10,441
 94/02/18,"1,679,895","8,819,550",5.20,5.35,5.10,5.35,+0.10,355
 94/02/21,"4,847,923","27,300,510",5.35,5.70,5.35,5.70,+0.35,741
 94/02/22,"8,560,665","50,245,402",5.85,6.05,5.55,5.55,-0.15,"1,049"
 94/02/23,"4,475,649","24,801,981",5.45,5.75,5.40,5.55, 0.00,544
 94/02/24,"4,723,989","26,704,331",5.60,5.75,5.45,5.45,-0.10,500
