日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 92/01/02,"961,000","6,071,300",6.25,6.40,6.20,6.25,+0.05,191
 92/01/03,"1,504,675","9,504,441",6.30,6.40,6.25,6.25, 0.00,324
 92/01/06,"1,535,714","9,622,316",6.25,6.35,6.25,6.25, 0.00,274
 92/01/07,"1,921,520","12,154,228",6.30,6.40,6.25,6.30,+0.05,353
 92/01/08,"5,479,937","36,335,713",6.35,6.70,6.35,6.70,+0.40,646
 92/01/09,"5,491,780","37,372,041",6.75,6.95,6.55,6.55,-0.15,825
 92/01/10,"7,199,448","50,081,277",6.80,7.00,6.70,6.90,+0.35,846
 92/01/13,"7,017,365","48,948,196",6.95,7.10,6.70,6.95,+0.05,"1,062"
 92/01/14,"2,895,600","20,214,428",7.05,7.10,6.80,7.00,+0.05,586
 92/01/15,"5,322,658","38,345,875",7.05,7.40,7.05,7.30,+0.30,904
 92/01/16,"2,802,316","19,958,695",7.30,7.30,6.95,7.10,-0.20,544
 92/01/17,"2,892,808","20,385,598",7.15,7.20,6.85,7.10, 0.00,449
 92/01/20,"1,249,854","8,614,221",6.85,7.00,6.70,6.80,-0.30,303
 92/01/21,"2,747,977","19,107,327",6.85,7.10,6.80,6.80, 0.00,456
 92/01/22,"1,979,781","13,406,659",6.80,6.95,6.60,6.70,-0.10,382
 92/01/23,"4,154,470","28,896,788",6.80,7.15,6.70,7.00,+0.30,645
 92/01/24,"3,053,744","21,257,391",7.20,7.20,6.80,6.80,-0.20,534
 92/01/27,"2,140,695","14,626,720",6.80,6.95,6.70,6.70,-0.10,410
 92/01/28,"1,958,947","13,270,982",6.70,6.90,6.70,6.70, 0.00,358
 92/02/06,"1,980,000","12,759,150",6.70,6.80,6.25,6.25,-0.45,338
 92/02/07,"3,546,002","22,725,770",6.25,6.65,6.00,6.65,+0.40,642
 92/02/10,"922,222","6,037,416",6.65,6.70,6.40,6.60,-0.05,256
 92/02/11,"1,805,378","12,062,638",6.70,6.90,6.50,6.60, 0.00,417
 92/02/12,"1,204,639","7,846,388",6.55,6.65,6.40,6.55,-0.05,223
 92/02/13,"1,593,608","10,149,442",6.40,6.55,6.30,6.30,-0.25,242
 92/02/14,"1,972,447","12,466,613",6.30,6.45,6.25,6.25,-0.05,286
 92/02/17,"1,193,790","7,841,154",6.60,6.65,6.45,6.65,+0.40,296
 92/02/18,"2,738,647","18,494,833",6.60,6.90,6.60,6.65, 0.00,485
 92/02/19,"2,123,052","14,593,618",6.75,7.05,6.75,6.90,+0.25,415
 92/02/20,"1,293,759","8,820,272",6.95,6.95,6.75,6.75,-0.15,294
 92/02/21,"942,907","6,326,333",6.80,6.85,6.60,6.60,-0.15,220
 92/02/24,"592,936","3,891,804",6.75,6.75,6.50,6.50,-0.10,188
 92/02/25,"1,164,306","7,275,992",6.45,6.45,6.15,6.15,-0.35,259
 92/02/26,"919,539","5,711,543",6.15,6.30,6.15,6.20,+0.05,210
 92/02/27,"1,081,775","6,508,322",6.15,6.15,5.85,6.00,-0.20,223
 92/03/03,"783,550","4,767,651",5.95,6.20,5.95,6.05,+0.05,212
 92/03/04,"493,179","3,014,383",6.05,6.20,6.00,6.10,+0.05,120
 92/03/05,"901,610","5,378,370",6.10,6.10,5.85,5.90,-0.20,151
 92/03/06,"404,290","2,395,301",6.00,6.05,5.85,5.85,-0.05,112
 92/03/07,"741,690","4,175,084",5.60,5.85,5.50,5.55,-0.30,179
 92/03/10,"759,557","4,267,223",5.60,5.75,5.60,5.60,+0.05,154
 92/03/11,"661,010","3,712,005",5.50,5.70,5.50,5.55,-0.05,140
 92/03/12,"1,551,600","9,081,262",5.65,5.90,5.55,5.90,+0.35,280
 92/03/13,"1,698,466","10,329,867",6.05,6.20,6.00,6.15,+0.25,301
 92/03/14,"1,687,050","10,694,905",6.45,6.50,6.25,6.25,+0.10,286
 92/03/17,"569,656","3,409,854",6.00,6.15,5.90,5.90,-0.35,140
 92/03/18,"576,290","3,551,301",6.20,6.25,6.00,6.15,+0.25,162
 92/03/19,"634,388","3,785,847",6.10,6.10,5.80,5.85,-0.30,179
 92/03/20,"1,278,851","7,602,301",5.85,6.05,5.80,6.00,+0.15,288
 92/03/21,"624,002","3,751,460",6.05,6.15,5.90,6.00, 0.00,154
 92/03/24,"840,035","5,052,848",6.20,6.20,5.90,5.95,-0.05,182
 92/03/25,"493,500","2,846,459",5.80,5.85,5.70,5.75,-0.20,138
 92/03/26,"347,000","2,012,850",5.90,5.90,5.75,5.75, 0.00,116
 92/03/27,"730,179","4,156,284",5.70,5.80,5.60,5.70,-0.05,176
 92/03/28,"630,535","3,546,701",5.70,5.70,5.60,5.65,-0.05,138
 92/03/31,"679,176","3,733,188",5.60,5.65,5.40,5.40,-0.25,125
 92/04/01,"814,845","4,385,286",5.30,5.50,5.30,5.45,+0.05,166
 92/04/02,"277,003","1,501,715",5.50,5.50,5.40,5.45, 0.00,74
 92/04/03,"591,000","3,288,450",5.55,5.60,5.50,5.55,+0.10,131
 92/04/04,"724,610","4,082,315",5.60,5.75,5.50,5.70,+0.15,187
 92/04/07,"1,281,296","7,384,098",5.75,5.80,5.60,5.75,+0.05,273
 92/04/08,"998,492","5,779,449",5.75,5.85,5.75,5.75, 0.00,231
 92/04/09,"717,772","4,073,271",5.75,5.75,5.50,5.70,-0.05,158
 92/04/10,"1,228,545","6,959,039",5.60,5.75,5.55,5.60,-0.10,263
 92/04/11,"849,541","4,768,917",5.70,5.70,5.55,5.65,+0.05,195
 92/04/14,"791,172","4,452,614",5.65,5.70,5.55,5.60,-0.05,146
 92/04/15,"567,170","3,203,895",5.65,5.70,5.60,5.65,+0.05,123
 92/04/16,"3,503,584","20,181,219",5.65,5.90,5.65,5.75,+0.10,554
 92/04/17,"1,499,000","8,578,550",5.75,5.80,5.65,5.65,-0.10,227
 92/04/18,"3,867,002","22,908,179",5.75,6.00,5.75,6.00,+0.35,593
 92/04/21,"4,004,999","24,773,564",6.10,6.40,6.00,6.40,+0.40,750
 92/04/22,"2,539,225","15,484,807",6.30,6.30,6.00,6.00,-0.40,380
 92/04/23,"3,008,933","18,344,225",6.10,6.25,5.85,6.20,+0.20,406
 92/04/24,"1,304,888","7,612,435",5.85,6.00,5.80,5.80,-0.40,326
 92/04/25,"1,102,001","6,130,055",5.45,5.80,5.45,5.45,-0.35,260
 92/04/28,"1,372,401","7,040,023",5.15,5.40,5.10,5.10,-0.35,265
 92/04/29,"1,203,678","6,276,286",5.15,5.30,5.15,5.25,+0.15,247
 92/04/30,"1,312,000","6,476,690",5.20,5.20,4.89,4.89,-0.36,241
 92/05/02,"334,000","1,519,700",4.55,4.55,4.55,4.55,-0.34,55
 92/05/05,"333,110","1,412,416",4.24,4.24,4.24,4.24,-0.31,80
 92/05/06,"4,979,003","20,292,402",3.95,4.29,3.95,4.20,-0.04,708
 92/05/07,"3,251,260","14,108,993",4.20,4.49,4.10,4.49,+0.29,628
 92/05/08,"3,262,992","15,182,884",4.80,4.80,4.50,4.60,+0.11,717
 92/05/09,"1,489,000","6,825,050",4.50,4.68,4.48,4.55,-0.05,321
 92/05/12,"1,095,999","4,927,184",4.50,4.55,4.33,4.33,-0.22,236
 92/05/13,"1,135,000","5,083,250",4.40,4.55,4.40,4.45,+0.12,268
