日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 87/01/03,"513,000","13,390,800",26.30,26.30,26.00,26.00,-0.10,120
 87/01/05,"1,736,000","46,380,400",26.00,27.60,26.00,27.30,1.30,453
 87/01/06,"2,904,078","81,621,116",27.40,28.80,27.40,27.60,0.30,849
 87/01/07,"1,746,194","48,363,285",27.60,28.30,26.80,26.80,-0.80,416
 87/01/08,"1,716,986","47,117,048",27.00,27.70,27.00,27.70,0.90,415
 87/01/09,"3,937,646","112,653,260",28.00,29.20,28.00,28.60,0.90,918
 87/01/12,"1,725,167","47,402,751",27.80,28.40,26.60,26.60,-2.00,435
 87/01/13,"1,306,621","35,277,081",26.80,27.50,26.80,26.80,0.20,330
 87/01/14,"1,330,350","36,579,229",27.20,27.80,27.00,27.60,0.80,407
 87/01/15,"1,436,200","39,605,992",27.60,28.00,27.20,27.50,-0.10,392
 87/01/16,"2,654,027","77,017,638",27.30,29.40,27.30,29.40,1.90,572
 87/01/17,"5,612,507","169,772,754",30.80,30.80,29.00,29.00,-0.40,"1,106"
 87/01/19,"2,052,000","59,806,200",29.60,29.80,28.10,28.10,-0.90,557
 87/01/20,"1,184,207","33,614,476",28.30,28.70,28.20,28.50,0.40,351
 87/01/21,"1,356,114","38,907,381",28.70,29.00,28.20,28.30,-0.20,390
 87/01/22,"1,789,385","51,806,583",28.50,29.30,28.50,28.90,0.60,489
 87/02/02,"2,461,000","73,582,300",29.50,30.50,29.40,30.00,1.10,532
 87/02/03,"4,093,126","125,431,796",30.40,31.60,29.60,30.30,0.30,"1,167"
 87/02/04,"2,889,570","88,038,538",30.70,30.90,30.00,30.50,0.20,851
 87/02/05,"4,189,185","134,034,253",30.90,32.60,30.90,32.60,2.10,912
 87/02/06,"8,060,201","278,423,486",34.80,34.80,33.50,34.80,2.20,"1,903"
 87/02/07,"5,463,915","194,935,807",36.00,36.30,34.70,35.40,0.60,"1,493"
 87/02/09,"5,873,000","201,016,400",35.40,35.40,33.00,33.00,-2.40,"1,521"
 87/02/10,"5,339,818","171,995,439",33.00,33.00,31.70,32.00,-1.00,"1,325"
 87/02/11,"4,743,724","157,572,714",32.30,33.90,32.30,33.90,1.90,"1,268"
 87/02/12,"5,092,982","176,235,646",33.80,35.50,33.80,34.20,0.30,"1,341"
 87/02/13,"4,502,736","152,878,608",33.20,34.90,33.10,33.10,-1.10,"1,287"
 87/02/16,"2,116,903","70,171,162",32.60,33.80,32.20,33.50,0.40,636
 87/02/17,"3,560,795","120,925,368",33.00,34.70,33.00,33.30,-0.20,818
 87/02/18,"3,754,533","127,789,244",33.50,34.80,33.20,33.20,-0.10,918
 87/02/19,"2,986,971","101,177,213",33.60,34.20,33.60,33.80,0.60,777
 87/02/20,"4,071,378","144,629,820",34.20,36.10,34.20,36.10,2.30,"1,005"
 87/02/21,"4,034,561","155,659,877",38.60,38.60,38.60,38.60,2.50,912
 87/02/23,"10,681,000","413,156,800",40.50,40.50,36.20,39.00,0.40,"2,591"
 87/02/24,"7,127,915","280,576,293",39.30,40.80,37.60,38.20,-0.80,"1,867"
 87/02/25,"1,798,147","64,067,186",35.60,35.60,35.60,35.60,-2.60,515
 87/02/26,"13,390,650","451,254,119",33.20,35.20,33.20,34.00,-1.60,"3,664"
 87/02/27,"7,075,043","237,733,600",34.20,34.60,31.70,31.70,-2.30,"1,911"
 87/03/02,"4,170,052","133,503,681",31.50,32.70,31.30,32.00,0.30,"1,371"
 87/03/03,"4,821,768","156,514,989",32.00,33.40,31.60,31.60,-0.40,"1,006"
 87/03/04,"4,675,138","147,747,329",32.00,32.60,29.90,29.90,-1.70,"1,078"
 87/03/05,"4,020,115","120,519,652",30.40,30.40,29.50,29.60,-0.30,798
 87/03/06,"1,861,810","55,953,687",29.00,31.10,29.00,30.50,0.90,578
 87/03/07,"2,558,267","82,616,506",31.10,32.60,31.10,32.60,2.10,545
 87/03/09,"3,552,000","114,004,100",32.60,33.00,31.20,31.20,-1.40,741
 87/03/10,"7,973,024","264,611,291",31.50,33.30,31.50,32.30,1.10,952
 87/03/11,"6,304,639","217,484,815",34.50,34.50,34.50,34.50,2.20,813
 87/03/12,"3,558,449","131,259,142",36.90,36.90,36.90,36.90,2.40,808
 87/03/13,"8,776,083","330,597,614",39.40,39.40,35.30,36.80,-0.10,"2,308"
 87/03/16,"4,271,156","160,814,280",37.50,38.50,37.10,37.10,0.30,"1,189"
 87/03/17,"2,666,787","98,302,889",37.90,37.90,36.00,36.00,-1.10,941
 87/03/18,"2,044,965","72,965,446",35.80,36.20,35.30,36.00,0.00,546
 87/03/19,"3,619,107","135,046,949",36.00,38.20,36.00,36.60,0.60,"1,074"
 87/03/20,"1,296,167","48,049,664",37.40,37.40,36.60,37.20,0.60,515
 87/03/21,"2,336,067","87,720,179",37.60,38.00,37.00,37.10,-0.10,667
 87/03/23,"2,588,000","95,696,300",37.30,37.80,36.00,36.30,-0.80,703
 87/03/24,"1,447,652","52,267,841",36.30,36.50,35.30,36.10,-0.20,502
 87/03/25,"2,314,993","84,982,963",36.50,37.00,36.30,37.00,0.90,687
 87/03/26,"3,555,351","133,336,978",37.60,37.70,37.30,37.50,0.50,889
 87/03/27,"2,642,522","99,097,250",38.00,38.00,37.20,37.50,0.00,715
 87/03/30,"2,391,028","90,588,028",37.80,38.00,37.50,38.00,0.50,698
 87/03/31,"3,432,571","131,566,497",38.20,39.30,37.50,39.30,1.30,915
 87/04/01,"5,620,051","231,283,390",40.80,42.00,40.20,42.00,2.70,"1,436"
 87/04/02,"9,089,805","389,459,104",42.80,44.20,42.00,43.00,1.00,"2,453"
 87/04/03,"3,684,733","156,034,531",42.80,43.00,41.50,42.20,-0.80,"1,253"
 87/04/04,"4,132,405","178,690,057",42.00,44.00,42.00,43.00,0.80,"1,250"
 87/04/07,"10,969,000","441,663,600",40.00,41.40,40.00,40.20,-2.80,"2,493"
 87/04/08,"9,886,767","403,220,004",40.00,42.00,39.00,41.80,1.60,"1,921"
 87/04/09,"11,454,665","482,317,370",41.90,42.80,41.50,42.20,0.40,"1,888"
 87/04/10,"6,569,621","280,064,567",42.80,43.30,42.00,43.30,1.10,"1,357"
 87/04/13,"7,918,109","342,735,094",43.00,43.80,42.40,43.50,0.20,"1,515"
