日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
 83/09/05,"4,000","384,000",96.0,96.0,96.0,96.0,6.0,4
 83/09/06,"1,000","102,500",102.5,102.5,102.5,102.5,6.5,1
 83/09/07,"1,000","109,500",109.5,109.5,109.5,109.5,7.0,1
 83/09/08,"2,000","234,000",117.0,117.0,117.0,117.0,7.5,2
 83/09/09,"1,000","125,000",125.0,125.0,125.0,125.0,8.0,1
 83/09/10,"37,016","4,941,460",133.5,133.5,133.5,133.5,8.5,24
 83/09/12,"3,855,000","549,337,500",142.5,142.5,142.5,142.5,9.0,"1,850"
 83/09/13,"12,541,527","1,906,245,780",152.0,152.0,152.0,152.0,9.5,"4,694"
 83/09/14,"10,301,426","1,668,526,474",162.0,162.0,162.0,162.0,10.0,"3,335"
 83/09/15,"17,770,605","3,056,261,195",173.0,173.0,165.0,173.0,11.0,"5,935"
 83/09/16,"11,219,138","1,930,171,460",173.0,177.0,168.0,171.0,-2.0,"3,909"
 83/09/17,"8,139,580","1,403,674,440",171.0,175.0,169.0,171.0,0.0,"3,142"
 83/09/21,"6,979,000","1,196,459,000",171.0,174.0,168.0,173.0,2.0,"2,387"
 83/09/22,"3,401,167","577,321,390",172.0,172.0,169.0,169.0,-4.0,"1,385"
 83/09/23,"10,990,127","1,904,076,082",169.0,176.0,168.0,175.0,6.0,"3,734"
 83/09/24,"5,901,627","1,022,067,844",175.0,175.0,171.0,171.0,-4.0,"1,732"
 83/09/26,"4,347,000","742,899,000",171.0,173.0,169.0,170.0,-1.0,"1,159"
 83/09/27,"3,684,962","630,777,654",171.0,173.0,170.0,171.0,1.0,"1,176"
 83/09/29,"2,647,670","452,808,560",172.0,172.0,170.0,172.0,1.0,949
 83/09/30,"2,153,013","370,761,197",172.0,174.0,171.0,171.0,-1.0,866
 83/10/01,"1,660,506","284,858,008",171.0,172.0,171.0,172.0,1.0,684
 83/10/03,"1,560,000","268,084,000",172.0,173.0,171.0,172.0,0.0,711
 83/10/04,"4,080,590","705,755,710",172.0,174.0,171.0,174.0,2.0,"1,704"
 83/10/05,"9,254,433","1,614,335,043",174.0,177.0,172.0,177.0,3.0,"3,118"
 83/10/06,"9,664,885","1,671,793,990",175.0,176.0,167.0,167.0,-10.0,"2,176"
 83/10/07,"7,008,819","1,181,620,316",167.0,170.0,167.0,169.0,2.0,"2,364"
 83/10/08,"8,929,664","1,454,296,224",170.0,171.0,158.0,158.0,-11.0,"2,910"
